Date,Open,High,Low,Close,Adj Close,Volume
2023-08-29,11.995000,12.500000,11.995000,12.430000,12.430000,82800
2023-08-30,11.970000,12.395000,11.970000,12.345000,12.345000,95600
2023-08-31,12.475000,12.710000,12.475000,12.510000,12.510000,515400
2023-09-01,12.290000,12.875000,12.290000,12.580000,12.580000,664400
2023-09-05,12.255000,12.685000,12.255000,12.665000,12.665000,164000
2023-09-06,13.140000,13.140000,12.670000,12.670000,12.670000,98600
2023-09-07,12.340000,12.750000,12.340000,12.715000,12.715000,210400
2023-09-08,12.155000,12.660000,12.155000,12.565000,12.565000,128800
2023-09-11,12.715000,12.930000,12.505000,12.555000,12.555000,229400
2023-09-12,12.480000,12.745000,12.480000,12.565000,12.565000,159400
2023-09-13,12.115000,12.660000,12.115000,12.530000,12.530000,87800
2023-09-14,12.265000,12.910000,12.265000,12.660000,12.660000,145800
2023-09-15,12.355000,12.970000,12.355000,12.620000,12.620000,245600
2023-09-18,12.170000,12.655000,12.170000,12.570000,12.570000,169000
2023-09-19,12.695000,12.855000,12.615000,12.675000,12.675000,981200
2023-09-20,12.780000,12.780000,12.125000,12.370000,12.370000,131200
2023-09-21,11.970000,12.310000,11.970000,12.210000,12.210000,712400
2023-09-22,12.515000,12.515000,12.225000,12.290000,12.290000,645600
2023-09-25,12.250000,12.385000,12.250000,12.355000,12.355000,1049200
2023-09-26,12.240000,12.495000,12.110000,12.110000,12.110000,122400
2023-09-27,11.895000,12.310000,11.895000,12.290000,12.290000,793400
2023-09-28,12.020000,12.300000,11.980000,12.060000,12.060000,293400
2023-09-29,11.930000,11.930000,11.735000,11.765000,11.765000,110200
2023-10-02,11.400000,11.820000,11.400000,11.645000,11.645000,224800
2023-10-03,11.500000,11.605000,11.500000,11.545000,11.545000,163400
2023-10-04,11.515000,11.575000,11.485000,11.545000,11.545000,150200
2023-10-05,11.345000,11.750000,11.345000,11.750000,11.750000,138200
2023-10-06,11.600000,11.985000,11.490000,11.825000,11.825000,256400
2023-10-09,12.010000,12.010000,11.410000,11.875000,11.875000,116800
2023-10-10,11.725000,12.075000,11.645000,11.875000,11.875000,202400
2023-10-11,11.745000,11.785000,11.630000,11.660000,11.660000,115200
2023-10-12,11.555000,11.555000,11.430000,11.475000,11.475000,299000
2023-10-13,11.105000,11.465000,11.105000,11.345000,11.345000,174200
2023-10-16,11.725000,11.725000,11.070000,11.475000,11.475000,451800
2023-10-17,11.565000,11.675000,11.455000,11.555000,11.555000,310400
2023-10-18,11.540000,11.540000,11.385000,11.385000,11.385000,139400
2023-10-19,11.255000,11.565000,11.255000,11.490000,11.490000,733200
2023-10-20,11.310000,11.600000,11.285000,11.285000,11.285000,178400
2023-10-23,11.170000,11.355000,11.170000,11.285000,11.285000,314000
2023-10-24,10.945000,11.325000,10.945000,11.285000,11.285000,311400
2023-10-25,11.015000,11.420000,11.015000,11.215000,11.215000,183600
2023-10-26,11.350000,11.375000,11.165000,11.260000,11.260000,435600
2023-10-27,12.345000,12.440000,12.330000,12.385000,12.385000,212800
2023-10-30,12.500000,12.725000,12.500000,12.725000,12.725000,269200
2023-10-31,13.050000,13.105000,12.915000,13.025000,13.025000,150000
2023-11-01,13.065000,13.180000,13.010000,13.085000,13.085000,126000
2023-11-02,12.995000,13.135000,12.980000,13.115000,13.115000,174400
2023-11-03,13.320000,13.430000,13.260000,13.385000,13.385000,84400
2023-11-06,13.290000,13.550000,13.140000,13.170000,13.170000,200000
2023-11-07,12.810000,12.930000,12.810000,12.925000,12.925000,193200
2023-11-08,13.000000,13.025000,12.930000,12.970000,12.970000,118600
2023-11-09,13.430000,13.430000,12.905000,12.905000,12.905000,100000
2023-11-10,12.910000,13.060000,12.600000,13.035000,13.035000,142000
2023-11-13,13.190000,13.190000,12.825000,12.950000,12.950000,340200
2023-11-14,12.975000,13.310000,12.975000,13.150000,13.150000,146600
2023-11-15,13.200000,13.200000,13.050000,13.095000,13.095000,120600
2023-11-16,13.705000,13.705000,13.270000,13.335000,13.335000,192000
2023-11-17,14.195000,14.195000,13.705000,13.765000,13.765000,120400
2023-11-20,14.420000,14.420000,13.355000,13.905000,13.905000,267000
2023-11-21,13.940000,14.005000,13.885000,13.905000,13.905000,78400
2023-11-22,13.850000,13.855000,13.795000,13.855000,13.855000,69800
2023-11-24,13.675000,14.555000,13.675000,14.150000,14.150000,162000
2023-11-27,13.775000,14.275000,13.775000,14.255000,14.255000,365800
